NCT Number,Study URL,Study Status,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Completion Date,First Posted,Last Update Posted,Duration_Days,Binary_Values,Participants
NCT04089449,https://clinicaltrials.gov/study/NCT04089449,1.0,0,"ADULT, OLDER_ADULT",0,-0.12703141027626902,0,1,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2019-11-06,2023-03-28,2019-09-13,2023-04-05,0.8417989294753918,1,86.0
NCT05166421,https://clinicaltrials.gov/study/NCT05166421,1.0,0,"ADULT, OLDER_ADULT",0,-0.020623237086031913,0,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-11-30,2023-07-19,2021-12-22,2024-11-25,-0.21192378123740085,1,224.0
NCT04672083,https://clinicaltrials.gov/study/NCT04672083,1.0,0,ADULT,0,-0.16866939108984005,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-11-16,2021-04-29,2020-12-17,2023-02-21,-0.9209708389132988,0,32.0
NCT04614740,https://clinicaltrials.gov/study/NCT04614740,1.0,0,"ADULT, OLDER_ADULT",1,-0.10467027243194382,0,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-11-20,2024-06-30,2020-11-04,2022-12-13,0.9731039401561137,1,115.0
NCT05027373,https://clinicaltrials.gov/study/NCT05027373,1.0,0,ADULT,0,-0.1671272436523004,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-08-13,2022-09-30,2021-08-30,2021-08-30,-0.5122839931695521,0,34.0
NCT04045028,https://clinicaltrials.gov/study/NCT04045028,0.0,0,"ADULT, OLDER_ADULT",0,-0.16172972762091153,0,1,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2019-07-22,2023-03-28,2019-08-05,2023-04-07,1.0174193812608574,0,41.0
NCT04464681,https://clinicaltrials.gov/study/NCT04464681,1.0,2,ADULT,0,-0.1794644231526177,3,1,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-03-30,2020-11-30,2020-07-09,2021-08-31,-0.7880245155990679,0,18.0
NCT06141577,https://clinicaltrials.gov/study/NCT06141577,1.0,0,"ADULT, OLDER_ADULT",0,-0.18717516034031606,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2023-10-08,2023-11-15,2023-11-21,2023-11-21,-1.1277762307354358,0,8.0
NCT04811040,https://clinicaltrials.gov/study/NCT04811040,1.0,0,"ADULT, OLDER_ADULT",0,-0.16866939108984005,0,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-04-08,2023-10-17,2021-03-23,2023-10-27,0.3231441372865406,0,32.0
NCT04047940,https://clinicaltrials.gov/study/NCT04047940,1.0,0,"ADULT, OLDER_ADULT",0,-0.16866939108984005,0,1,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2019-11-29,2020-02-18,2019-08-07,2020-03-03,-1.0571997874945476,0,32.0
